Group Name,Company Code
Chubb,22667
Chubb,626
Chubb,50028
Chubb,20702
Chubb,26417
Chubb,60348
Chubb,20699
Chubb,42757
Chubb,38938
Chubb,18279
Chubb,20710
Chubb,38989
Chubb,12777
Chubb,41386
Chubb,30953
Chubb,27774
Chubb,10052
Chubb,62146
Chubb,78697
Chubb,35181
Chubb,44792
Chubb,20281
Chubb,20303
Chubb,27960
Chubb,43575
Chubb,22713
Chubb,22748
Chubb,20346
Chubb,14982
Chubb,20397
Chubb,10030
Chubb,10172
Hartford,176
Hartford,21822
Hartford,22357
Hartford,29424
Hartford,914
Hartford,19682
Hartford,38288
Hartford,37478
Hartford,38261
Hartford,70815
Hartford,38253
Hartford,30104
Hartford,10784
Hartford,26743
Hartford,42307
Hartford,5100
Hartford,36056
Hartford,21830
Hartford,41629
Hartford,39608
Hartford,10046
Hartford,34690
Hartford,11000
Hartford,27120
Hartford,29459
AIG,97780
AIG,40258
AIG,31674
AIG,19402
AIG,26883
AIG,19399
AIG,60488
AIG,19380
AIG,124
AIG,26611
AIG,13551
AIG,19410
AIG,10651
AIG,23809
AIG,23817
AIG,19429
AIG,19437
AIG,19445
AIG,23841
AIG,40436
AIG,37982
AIG,70106
AIG,70238
AIG,13196
Fairfax,19489
Fairfax,54
Fairfax,22730
Fairfax,10690
Fairfax,16624
Fairfax,24319
Fairfax,10251
Fairfax,390
Fairfax,31348
Fairfax,623
Fairfax,42471
Fairfax,44520
Fairfax,10657
Fairfax,10019
Fairfax,37079
Fairfax,14484
Fairfax,25054
Fairfax,81442
Fairfax,16498
Fairfax,21105
Fairfax,23680
Fairfax,436
Fairfax,10936
Fairfax,10729
Fairfax,25534
Fairfax,21113
Fairfax,44768
Fairfax,13269
Fairfax,3360
Fairfax,30120
AutoOwners,42846
AutoOwners,18988
AutoOwners,2801
AutoOwners,61190
AutoOwners,12508
AutoOwners,15315
AutoOwners,13544
AutoOwners,20672
AutoOwners,12890
AutoOwners,20680
AutoOwners,26638
AutoOwners,23540
AutoOwners,11165
AutoOwners,32700
AutoOwners,32905
AutoOwners,10190
AutoOwners,16020
AutoOwners,28479
AutoOwners,13110
AutoOwners,15317
TokioMarine,10216
TokioMarine,10367
TokioMarine,41726
TokioMarine,41734
TokioMarine,41742
TokioMarine,71005
TokioMarine,10938
TokioMarine,9849
TokioMarine,92711
TokioMarine,42374
TokioMarine,18058
TokioMarine,6777
TokioMarine,12873
TokioMarine,34312
TokioMarine,33170
TokioMarine,13204
TokioMarine,377
TokioMarine,17148
TokioMarine,68381
TokioMarine,66575
TokioMarine,11123
TokioMarine,440
TokioMarine,15105
TokioMarine,13815
TokioMarine,69078
TokioMarine,10738
TokioMarine,32301
TokioMarine,10945
TokioMarine,9504
TokioMarine,11243
TokioMarine,11216
TokioMarine,23850
TokioMarine,41238
TokioMarine,10656
TokioMarine,29599
Erie,70769
Erie,26263
Erie,16233
Erie,26271
Erie,2135
Erie,26830
Erie,35585
WRBerkley,31325
WRBerkley,44318
WRBerkley,24856
WRBerkley,39462
WRBerkley,15911
WRBerkley,32603
WRBerkley,64890
WRBerkley,38911
WRBerkley,17412
WRBerkley,29580
WRBerkley,31295
WRBerkley,10510
WRBerkley,33480
WRBerkley,10804
WRBerkley,21784
WRBerkley,10833
WRBerkley,25224
WRBerkley,17182
WRBerkley,10749
WRBerkley,17181
WRBerkley,10885
WRBerkley,23612
WRBerkley,17370
WRBerkley,10900
WRBerkley,36684
WRBerkley,40045
WRBerkley,31003
WRBerkley,25844
WRBerkley,43435
WRBerkley,981
Everest,16044
Everest,10851
Everest,10120
Everest,16045
Everest,667
Everest,26921
Everest,22110
CNA,20427
CNA,25232
CNA,31127
CNA,20443
CNA,2186
CNA,35289
CNA,42625
CNA,3020
CNA,36153
CNA,20478
CNA,24047
CNA,20494
CNA,13200
CNA,20508
CNA,13188
CNA,3972
Munich,19720
Munich,11865
Munich,23450
Munich,23469
Munich,12314
Munich,1279
Munich,42005
Munich,42722
Munich,38652
Munich,41998
Munich,35912
Munich,12489
Munich,34711
Munich,11452
Munich,29890
Munich,14438
Munich,14174
Munich,66346
Munich,69604
Munich,9571
Munich,10227
Munich,16285
Munich,10786
Cincinnati,2445
Cincinnati,28665
Cincinnati,23280
Cincinnati,10677
Cincinnati,76236
Cincinnati,13037
AutoClubEnt,11009
AutoClubEnt,29327
AutoClubEnt,745
AutoClubEnt,27235
AutoClubEnt,11008
AutoClubEnt,15512
AutoClubEnt,60256
AutoClubEnt,15598
AutoClubEnt,12487
FMGlobal,10014
FMGlobal,10316
FMGlobal,21482
FMGlobal,655
GreatAmerican,37990
GreatAmerican,10335
GreatAmerican,10701
GreatAmerican,16618
GreatAmerican,26832
GreatAmerican,26344
GreatAmerican,39896
GreatAmerican,10646
GreatAmerican,37532
GreatAmerican,41858
GreatAmerican,16691
GreatAmerican,841
GreatAmerican,22136
GreatAmerican,38580
GreatAmerican,35351
GreatAmerican,31135
GreatAmerican,33723
GreatAmerican,15380
GreatAmerican,23418
GreatAmerican,13794
GreatAmerican,32620
GreatAmerican,11051
GreatAmerican,23426
GreatAmerican,22179
GreatAmerican,43753
GreatAmerican,41106
GreatAmerican,21172